year,Median,Range,n,species,group,season,decade,baseline_median,baseline_range,diff_median,diff_range,spring_dp10,spring_d32,spring_emxp,spring_prcp,spring_tavg,spring_tmax,spring_tmin,fall_dp10,fall_d32,fall_emxp,fall_prcp,fall_tavg,fall_tmax,fall_tmin,winter_dp10,winter_dx32,winter_emxp,winter_prcp,winter_tavg,winter_tmax,winter_tmin,yearly_dp10,yearly_dx32,yearly_emxp,yearly_prcp,yearly_tavg,yearly_tmin,yearly_tmax,spring_temp,fall_temp,winter_temp,yearly_temp,hurricane,spring_discharge,fall_discharge,winter_discharge,yearly_discharge,spring_drought,fall_drought,winter_drought,yearly_drought
1981,217,18,91,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,-18.33333333,-4.166666667,11,0,7.96,16.47,67.33333333,82.1,47.4,11,0,1.56,5.76,69.7,87.5,51.5,14,0,5.37,11.27,50.26666667,64.3,34.1,71,0,7.96,57.13,67.46666667,93.3,34.1,20.14603084,22.71006199,12.77108326,21.03206981,0,150176.75,27493.99,109860.84,329824.69,-1266.3,-1601.3,-742.7,-5332.8
1982,244,63,119,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,8.666666667,40.83333333,16,0,2.8,14.13,68.3,84.5,54.1,14,0,1.77,9.95,68.26666667,86.1,50.8,25,1,3.61,17.82,50.96666667,63.8,38.7,89,1,3.61,74.46,67.69166667,90.2,38.7,20.94297484,22.83017345,15.46996738,21.97884354,0,221849.24,43443.51,249076.2,705409.3,-387.7,-11.1,-1221.4,-929.4
1983,270,12,87,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,34.66666667,-10.16666667,17,0,4.32,20.95,62.93333333,82.3,44.1,21,0,3.08,15.08,66.16666667,83.6,46.9,23,0,4.64,25.95,51.7,65.4,37.2,85,2,4.64,83.49,64.4,92.1,37.2,18.18425371,22.23448647,13.15124523,20.37008472,0,496371.8,69642.53,414649.4,1102993.8,2508.4,1054.6,766.7,7423.1
1984,185,0,50,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,-50.33333333,-22.16666667,16,0,2.61,12.57,65.56666667,83.2,46.9,9,0,3.03,8.6,68.13333333,85.7,44.9,23,2,3.68,19.27,48.7,63.7,35.7,64,0,5.65,53.85,66.38333333,89.5,35.7,19.14870269,22.35587135,14.15960554,20.74154709,0,300280.01,58922.37,361645.7,685225.82,103.1,-461.6,436.1,-614.4
1985,214,0,41,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,-21.33333333,-22.16666667,15,0,2.78,12.5,68.6,84.5,54.3,20,0,4.99,25.13,71.13333333,85.4,57.2,16,1,2.03,13.57,51.46666667,69.7,32.2,84,1,4.99,69.99,66.875,89.7,32.2,21.24807672,23.47640951,12.03288141,21.14233019,2,117913.61,59444.27,194484.8,426538,-454.7,298.2,-855.9,-875.9
1986,258,2,13,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,22.66666667,-20.16666667,14,0,1.74,10.87,66.7,84.4,47.2,25,0,2.33,17.7,70.7,88.7,56.9,19,0,1.63,11.18,51.6,66.8,37.3,85,0,2.56,59.37,67.83333333,93.5,38,19.76795828,23.77620035,14.31630144,21.60440274,0,83872.91,68896.98,95620.1,325709.85,328.5,-575.5,650.4,-498.8
1987,208,0,366,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,-27.33333333,-22.16666667,22,0,2.83,17.71,66.46666667,84.6,48,13,0,3.15,9.18,66.26666667,87.2,48,29,0,2.25,18.14,51.16666667,62.2,38.4,100,0,3.15,67.15,66.65,91.3,38.4,19.79294859,21.29935823,14.05433144,20.86528007,0,197974.09,24734.44,272600.39,488262.18,305.4,-10.3,102.2,893.9
1988,266,1.5,43,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,30.66666667,-20.66666667,14,0,2.8,12.57,66.23333333,86,48.3,19,0,3.68,18.16,68.76666667,85.9,51.5,21,0,2.53,14.5,51.3,66,37.2,74,0,3.68,62.25,66.55,91.4,37.2,19.50430586,22.61056253,12.5356213,20.47569181,1,75125.8,90639.79,117753.82,326514.18,-323.2,287.7,-164.3,-489.5
1989,256,103,33,Atlantic Bumper,Pelagic Prey,Fall,1980,235.3333333,22.16666667,20.66666667,80.83333333,23,0,2.65,15.59,67.16666667,84.4,51.3,17,0,4.74,16.78,67.26666667,85.6,48.2,12,0,0.87,5.4,54.93333333,67.7,42.4,82,2,4.74,64.01,66.70833333,91.6,34.2,20.33964017,21.8670462,13.46405733,20.89239638,0,271117.49,118878.34,211232.6,865127.94,-25.7,58.9,-145.4,47.1
1990,247,0,18,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,11.66666667,-22.16666667,16,0,7.15,23.22,66.63333333,83.2,50.9,11,0,1.42,5.66,69.16666667,89.6,47.9,27,2,2.7,22.71,52.63333333,67.8,34.2,65,0,7.15,55.98,68.61666667,94.6,44.7,20.14404238,22.89874401,15.4479329,21.73787337,0,313414.22,31209.14,468366.7,839241.64,2086.3,-401.1,2230.6,4092.2
